          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.96300667725118605       0.15183105131368690      -0.12709000116012997       0.78188152738487127     
           2  0.96300667478298507       0.15183105076731734      -0.12709001410078943       0.78188152658835153     
           3  0.96300667749508706      -0.15183104986670792      -0.12709000108026164      -0.78188151985945986     
           4  0.96300667659194250      -0.15183105113847115      -0.12709000463990217      -0.78188152702377167     
           5  0.96790192303034739       0.11219363587392878      -0.12975595082669936       0.57699630178139261     
           6  0.96790191815662174       0.11219363318606311      -0.12975597725779242       0.57699629096012273     
           7  0.96790191704895279      -0.11219363611774261      -0.12975598117175038      -0.57699630655831324     
           8  0.96790193178314488      -0.11219363578276015      -0.12975590626471845      -0.57699629614506354     
           9  0.99939895549794266        3.7414014288303482E-011  -3.0061260085668972E-003   1.8718257650000367E-010
          10  0.99939290200375608       -5.0030999330865727E-010  -3.0364117742602359E-003  -2.5030695750667684E-009
          11  0.99755122804671770        4.7033497144739669E-010  -1.2258875495015031E-002   2.3574477090682794E-009
          12  0.99758185991920278       -3.8197869242066961E-011  -1.2105342516827974E-002  -1.9145230470189546E-010
          13  0.99448769983652763       -1.4765234185745020E-010  -2.7637744765530048E-002  -7.4235378618418849E-010
          14  0.99447927112729029        1.0752887524049342E-011  -2.7680122086825163E-002   5.4062904256719324E-011
          15  0.99019442159534288        3.0682947846979219E-011  -4.9269848423791479E-002   1.5493395629084974E-010
          16  0.99022475922735198       -8.5763935665230862E-012  -4.9116660491129296E-002  -4.3305287444110340E-011
          17  0.98472194679256797       -2.3198337607567111E-011  -7.6979825904527538E-002  -1.1779130993844828E-010
          18  0.98471245102257676        1.3146924624418695E-010  -7.7028041625761073E-002   6.6755145681189695E-010
          19  0.97805346970751850        1.9783576288086537E-010 -0.11095468969615682        1.0113749861754852E-009
          20  0.97808342601997345        3.0176693940298831E-011 -0.11080154953238444        1.5426441721384713E-010
