          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.96353346638068171       0.15191410438918240      -0.12435562378385445       0.78188151539121820     
           2  0.96353346834566400       0.15191410343006748      -0.12435561460009403       0.78188150896620279     
           3  0.96353346705904630      -0.15191410690710039      -0.12435561833896819      -0.78188152759882212     
           4  0.96353346492830527      -0.15191410251324614      -0.12435563263534891      -0.78188150705210513     
           5  0.96651521605674307       0.11493636449885788      -0.13518491652213133       0.59181231881945262     
           6  0.96651524266910804       0.11493636583645354      -0.13518477995874298       0.59181230949924657     
           7  0.96651522319615590      -0.11493636600768645      -0.13518487918809147      -0.59181232218525992     
           8  0.96651523574441545      -0.11493636647224520      -0.13518481489652207      -0.59181231694308123     
           9  0.99994565201566410        5.9767608911046031E-010  -2.7174730620556429E-004   2.9885428668332158E-009
          10  0.99973763503165303       -3.2103404033969194E-008  -1.3119969602795383E-003  -1.6055914526491117E-007
          11  0.99877919497979639       -5.3848028573405632E-010  -6.1077540484488725E-003  -2.6956923434160486E-009
          12  0.99809687420802495        4.8961257787179968E-008  -9.5246951839219936E-003   2.4527307444996238E-007
          13  0.99527874023621432       -1.2572732389888376E-008  -2.3662200573858976E-002  -6.3161865523744777E-008
          14  0.99502327511701283       -4.6070189601609514E-011  -2.4945750098674151E-002  -2.3150307512249775E-010
          15  0.99140998623243126       -1.6904435787053124E-011  -4.3135602936878077E-002  -8.5254516404931392E-011
          16  0.99073609019751763        1.0420116883463178E-009  -4.6535433397871459E-002   5.2587752614249554E-009
          17  0.98554904327161297        7.6545085350116069E-010  -7.2781943827391074E-002   3.8833727186228205E-009
          18  0.98525111123026277       -1.7395367421195792E-010  -7.4293675206847362E-002  -8.8278852075967495E-010
          19  0.97858847450580344       -7.4346589968402327E-010 -0.10822038864940561       -3.7986647045862694E-009
          20  0.97925351154548990        1.2188719638262393E-008 -0.10482360244294869        6.2234750728775826E-008
