          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.97143291168085355       0.11950680876213382      -0.10736327613857080       0.61203065618265429     
           2  0.97143290880342092       0.11950680977894435      -0.10736329009377994       0.61203066313300070     
           3  0.97143291219114392      -0.11950680909799172      -0.10736327334175280      -0.61203065756725916     
           4  0.97143291351000360      -0.11950680988275025      -0.10736326616524038      -0.61203066072357659     
           5  0.97341407068491825        8.6823080291103749E-002 -0.11491822983105804       0.44479493022355843     
           6  0.97341409312440996        8.6823090183546767E-002 -0.11491811098252909       0.44479497043606381     
           7  0.97341407962197457       -8.6823077512512961E-002 -0.11491818555062759      -0.44479491200159338     
           8  0.97341408576475030       -8.6823079328245706E-002 -0.11491815342161522      -0.44479491846248609     
           9  0.99977380005359529       -3.1291844084154990E-010  -1.1311276673559654E-003  -1.5649461949531741E-009
          10  0.99962022998054934       -3.9845724924571954E-008  -1.8992107517320175E-003  -1.9930431442622592E-007
          11  0.99846412074198365        2.9850062021582954E-010  -7.6852996481575116E-003   1.4947989317533326E-009
          12  0.99792541426483938        5.7511916889379796E-008  -1.0383703345288965E-002   2.8815739166111988E-007
          13  0.99503829890394890       -1.3859705555627354E-008  -2.4870256017824607E-002  -6.9644080890625244E-008
          14  0.99485227033710211       -3.0450546093220134E-011  -2.5805124348095700E-002  -1.5304054180276471E-010
          15  0.99056582005476346       -4.2924454656286837E-009  -4.7394818544033573E-002  -2.1666634254508076E-008
          16  0.99109326034414202        2.1599293062877337E-011  -4.4733208850163783E-002   1.0896700606851727E-010
          17  0.98529697122223059        3.3484127382323683E-010  -7.4060948117442738E-002   1.6991896027442189E-009
          18  0.98508178611340758        1.5528498899684065E-010  -7.5153048348818974E-002   7.8818323100617885E-010
          19  0.97894015099134135       -6.8196018272075979E-009 -0.10642385558858213       -3.4831556455732281E-008
          20  0.97842040367439898       -9.8725293888880501E-008 -0.10907920351573860       -5.0451367080103433E-007
