          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1  0.97127263928609331       0.11948709536510704      -0.10818826977122102       0.61203067393029098     
           2  0.97127263726549473       0.11948708993415574      -0.10818828340609266       0.61203064764975523     
           3  0.97127263939017483      -0.11948709273104935      -0.10818827088668519      -0.61203066050769017     
           4  0.97127263729939739      -0.11948709300584015      -0.10818828131787515      -0.61203066320553878     
           5  0.97378692081943696       -8.6011645659298017E-002 -0.11338538787455985      -0.44049168962295498     
           6  0.97378689916724026       -8.6011644821800348E-002 -0.11338549856603729      -0.44049169509978753     
           7  0.97378691363312653        8.6011648025982837E-002 -0.11338542342266249       0.44049170491477574     
           8  0.97378691332046863        8.6011649478349744E-002 -0.11338542436202351       0.44049171245506036     
           9  0.99960885094889962       -7.7071775018690361E-011  -1.9561278492230480E-003  -3.8550966683382385E-010
          10  0.99951893172224116       -3.9106059781024145E-009  -2.4059201411342594E-003  -1.9562440760197341E-008
          11  0.99811885829486302        6.5288380548346491E-011  -9.4145663712902512E-003   3.2705714357447339E-010
          12  0.99776067536668156        8.0725668309901411E-009  -1.1209178350548819E-002   4.0453422500458016E-008
          13  0.99480135559629479       -1.6173561309516033E-009  -2.6061021857867257E-002  -8.1290406464220303E-009
          14  0.99468813348494245        4.1327830077956815E-012  -2.6630123188112840E-002   2.0774265162469856E-011
          15  0.99040238574458883       -8.3823324781405758E-010  -4.8219840924841995E-002  -4.2317812430544084E-009
          16  0.99075216089438700        1.1338776455100444E-011  -4.6454329223466838E-002   5.7223072038846366E-011
          17  0.98504877329750085        3.1823530331723169E-010  -7.5320614989273962E-002   1.6153276464266984E-009
          18  0.98491926171427757       -1.7072884751104236E-012  -7.5978044861779934E-002  -8.6671493871428796E-012
          19  0.97825889285173961       -9.4701007334447394E-010 -0.10990463680630344       -4.8402834886776668E-009
          20  0.97860345842654339        7.9252656740418433E-009 -0.10814383039015613        4.0492732811227513E-008
